Name,Event,Mode,TP,FP,FN,TN
000350,a video of a person riding a bicycle on the street,2,0,0,34,0
000289,a video of a person riding a bicycle on the street,2,20,0,34,0
4_076_1,a video of a person riding a bicycle on the street,2,8,0,14,0
000326,a video of a person riding a bicycle on the street,2,0,0,24,0
000313,a video of a person riding a bicycle on the street,2,0,0,15,0
000325,a video of a person riding a bicycle on the street,2,0,0,24,0
000345,a video of a person riding a bicycle on the street,2,0,0,1,0
3_106_1,a video of a person riding a bicycle on the street,2,24,0,1,0
D013_03,a video of a person riding a bicycle on the street,2,10,0,20,0
000296,a video of a person riding a bicycle on the street,2,10,0,2,0
1_067_1,a video of a person riding a bicycle on the street,2,14,0,7,0
D047_05,a video of a person riding a bicycle on the street,2,6,0,0,0
1_066_1,a video of a person riding a bicycle on the street,2,14,0,8,0
000253,a video of a person riding a bicycle on the street,2,0,0,30,0
D235_01,a video of a person riding a bicycle on the street,2,34,0,0,0
D013_02,a video of a person riding a bicycle on the street,2,16,0,38,1
000324,a video of a person riding a bicycle on the street,2,3,0,20,0
2_096_1,a video of a person riding a bicycle on the street,2,22,0,13,0
4_077_1,a video of a person riding a bicycle on the street,2,17,0,9,0
000270,a video of a person riding a bicycle on the street,2,0,0,34,0
D235_07,a video of a person riding a bicycle on the street,2,39,0,0,0
3_105_1,a video of a person riding a bicycle on the street,2,24,0,0,0
000318,a video of a person riding a bicycle on the street,2,0,0,44,0
2_067_1,a video of multiple people engaged in a physical fight,2,0,0,24,58
4_082_1,a video of multiple people engaged in a physical fight,2,2,0,79,0
000211,a video of multiple people engaged in a physical fight,2,4,0,140,93
3_079_1,a video of multiple people engaged in a physical fight,2,0,0,87,51
2_065_1,a video of multiple people engaged in a physical fight,2,0,0,50,10
1_081_1,a video of multiple people engaged in a physical fight,2,0,0,26,0
3_089_1,a video of multiple people engaged in a physical fight,2,0,0,56,1
D076_05,a video of multiple people engaged in a physical fight,2,0,0,82,110
D043_01,a video of multiple people engaged in a physical fight,2,0,0,59,57
1_088_1,a video of multiple people engaged in a physical fight,2,0,0,88,47
2_068_1,a video of multiple people engaged in a physical fight,2,0,0,39,9
000213,a video of multiple people engaged in a physical fight,2,147,0,43,41
000266,a video of multiple people engaged in a physical fight,2,68,0,38,74
1_071_1,a video of multiple people engaged in a physical fight,2,0,0,28,14
D031_01,a video of multiple people engaged in a physical fight,2,0,0,128,84
4_079_1,a video of multiple people engaged in a physical fight,2,0,0,63,51
3_076_1,a video of multiple people engaged in a physical fight,2,22,0,76,16
2_081_1,a video of multiple people engaged in a physical fight,2,0,0,5,2
000278,a video of multiple people engaged in a physical fight,2,37,0,31,23
1_072_1,a video of multiple people engaged in a physical fight,2,0,0,77,12
2_077_1,a video of multiple people engaged in a physical fight,2,4,0,18,23
4_096_1,a video of multiple people engaged in a physical fight,2,0,0,46,6
000321,a video of multiple people engaged in a physical fight,2,43,0,28,73
2_076_1,a video of multiple people engaged in a physical fight,2,0,0,15,7
4_103_1,a video of multiple people engaged in a physical fight,2,0,0,61,27
000251,a video of multiple people engaged in a physical fight,2,58,0,97,46
1_083_1,a video of multiple people engaged in a physical fight,2,0,0,18,0
4_105_1,a video of multiple people engaged in a physical fight,2,0,0,37,0
000220,a video of multiple people engaged in a physical fight,2,53,0,63,0
2_086_1,a video of multiple people engaged in a physical fight,2,7,0,78,47
3_078_1,a video of multiple people engaged in a physical fight,2,0,0,44,154
4_081_1,a video of multiple people engaged in a physical fight,2,0,0,32,47
3_095_1,a video of multiple people engaged in a physical fight,2,0,0,34,69
D077_06,a video of multiple people engaged in a physical fight,2,0,0,18,81
1_069_1,a video of multiple people engaged in a physical fight,2,0,0,109,0
2_084_1,a video of multiple people engaged in a physical fight,2,0,0,38,19
1_086_1,a video of multiple people engaged in a physical fight,2,0,0,36,38
000284,a video of multiple people engaged in a physical fight,2,142,0,42,119
2_079_1,a video of multiple people engaged in a physical fight,2,7,0,43,4
4_093_1,a video of multiple people engaged in a physical fight,2,0,0,73,25
D029_01,a video of multiple people engaged in a physical fight,2,0,0,24,99
000256,a video of a group of people playing a sport together,2,24,0,270,0
000334,a video of a group of people playing a sport together,2,0,0,1,0
1_094_1,a video of a group of people playing a sport together,2,86,18,48,28
000346,a video of a group of people playing a sport together,2,0,0,249,0
3_101_1,a video of a group of people playing a sport together,2,21,0,15,0
000310,a video of a group of people playing a sport together,2,26,0,32,0
000336,a video of a group of people playing a sport together,2,5,0,132,0
000314,a video of a group of people playing a sport together,2,0,0,5,0
000222,a video of a group of people playing a sport together,2,6,0,60,0
4_111_1,a video of a group of people playing a sport together,2,0,0,19,3
3_102_1,a video of a group of people playing a sport together,2,90,0,109,91
2_090_1,a video of a group of people playing a sport together,2,0,0,2,0
000258,a video of a group of people playing a sport together,2,0,0,5,0
000347,a video of a group of people playing a sport together,2,0,0,5,0
000342,a video of a group of people playing a sport together,2,0,0,2,0
000244,a video of a group of people playing a sport together,2,0,0,48,0
1_093_1,a video of a group of people playing a sport together,2,17,18,106,14
000327,a video of a group of people playing a sport together,2,0,0,0,0
